Promedio ponderado del semestre,Asistencia (%),Desarrollo de Tareas (%),tasa_aprobacion,tasa_evaluacion,carga_aprobada,backlog_eval,backlog_aprob,Deuda,deuda_neta,conflicto_trabajo_estudio,trabajo_ordinal,Edad,¿La distancia y la separación de mi familia para estudiar en la universidad me hacen considerar abandonar mis estudios.?,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?","¿Me siento poco integrado/a con mis compañeros y actividades universitarias, lo que me hace pensar en abandonar?","¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",¿La falta de seguridad dentro o cerca del campus influye en mi intención de abandonar?,¿La retroalimentación tardía o poco clara de los docentes afecta mi continuidad y me hace pensar en abandonar?,¿La carrera/facultad donde estoy matriculado no cumple mis expectativas y me hace pensar en retirarme?,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿Cuento con poco apoyo familiar para continuar mis estudios y eso me hace considerar el abandono?,"¿Me cuesta adaptarme a la cultura y normas institucionales, lo que afecta mi permanencia?","¿No veo una trayectoria profesional clara a partir de mi carrera actual, por lo que consideraría retirarme?",Condición Final,target_deserto,Formas de Pago_Contado,Formas de Pago_Otros,Matrícula al día_Sí,Becario_Sí,Situación laboral_No Trabaja,Situación laboral_Tiempo completo,Facultad_Ciencias Humanas y Educación,Facultad_Ciencias de la Salud,Facultad_Ingeniería y Arquitectura,Facultad_Teología,Orden de solicitud_Segunda Opción,Orden de solicitud_Tercera Opción,Modo de solicitud_Ingreso directo,Modo de solicitud_Ingreso por convenio o beca especial,Modo de solicitud_Ingreso por reingreso,Modo de solicitud_Ingreso por traslado externo,Modo de solicitud_Ingreso por traslado interno,Procedencia_Lima,Procedencia_Provincia,Vivienda_Familiares,Vivienda_Residencia,Necesidades educativas especiales_Sí,Trasladado(a)_Sí,Género_M,Crianza Adventista_Sí,Estado civil_Soltero,Titulación de la madre_Primaria,Titulación de la madre_Secundaria,Titulación de la madre_Sin estudios,Titulación de la madre_Técnica,Titulación del padre_Primaria,Titulación del padre_Secundaria,Titulación del padre_Sin estudios,Titulación del padre_Técnica,Ocupación de la madre_Ama de casa / labores del hogar,Ocupación de la madre_Comerciantes / vendedores,Ocupación de la madre_Desempleado / sin ocupación,Ocupación de la madre_Empleados administrativos / de oficina,Ocupación de la madre_Militares / policías / fuerzas del orden,Ocupación de la madre_Obreros / trabajadores manuales,Ocupación de la madre_Otros / no especificado,Ocupación de la madre_Profesionales y técnicos,Ocupación de la madre_Servicios personales y domésticos,Ocupación del padre_Ama de casa / labores del hogar,Ocupación del padre_Comerciantes / vendedores,Ocupación del padre_Desempleado / sin ocupación,Ocupación del padre_Empleados administrativos / de oficina,Ocupación del padre_Militares / policías / fuerzas del orden,Ocupación del padre_Obreros / trabajadores manuales,Ocupación del padre_Otros / no especificado,Ocupación del padre_Profesionales y técnicos,Ocupación del padre_Servicios personales y domésticos,Edad_scaled,Promedio ponderado del semestre_scaled,Asistencia (%)_scaled,Desarrollo de Tareas (%)_scaled,Deuda_scaled,deuda_neta_scaled,tasa_aprobacion_scaled,tasa_evaluacion_scaled,carga_aprobada_scaled,backlog_eval_scaled,backlog_aprob_scaled,trabajo_ordinal_scaled,conflicto_trabajo_estudio_scaled
9.18,78.3,73.6,0.3333333333333333,0.75,0.25,1,2,2098.36,1631.75,0,0,20,1,4,2,5,2,3,3,2,4,3,4,1,1,Graduado,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.4,-0.8753056234718827,-0.5565217391304352,-0.4183486238532112,1.4425357362234648,1.3352354756047813,-1.3333333333333333,-1.5000000000000004,-1.4999999999999998,1.0,0.0,0.0,0.0
9.09,69.3,86.0,0.5,1.0,0.5,0,2,925.32,816.5,3,1,22,1,3,5,5,4,3,3,1,1,5,2,3,2,Desertó,1,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,-0.8973105134474327,-1.3391304347826092,0.49174311926605524,0.2212678681117324,0.5386319721127704,-0.6666666666666665,0.0,-0.33333333333333315,0.0,0.0,1.0,0.75
13.94,80.7,82.2,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,406.34,-28.220000000000027,2,1,19,2,2,3,5,4,1,5,1,2,3,4,2,3,Desertó,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.6,0.28850855745721266,-0.34782608695652173,0.21284403669724813,-0.319049255083237,-0.2867674899783323,0.0,-0.8571428571428577,0.0,1.0,0.0,1.0,0.5
8.49,77.7,78.9,0.5,1.0,0.5,0,3,1832.85,1377.4499999999998,0,0,20,3,1,1,5,4,1,3,5,2,5,1,5,2,Desertó,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.4,-1.0440097799511001,-0.6086956521739131,-0.02935779816513699,1.1661096709039989,1.0867518559322653,-0.6666666666666665,0.0,-0.33333333333333315,0.0,0.5,0.0,0.0
15.83,89.1,72.0,0.8333333333333334,0.8571428571428571,0.7142857142857143,1,1,1142.79,381.5,1,1,26,1,1,3,4,1,4,2,3,5,2,5,2,1,Graduado,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.8,0.7506112469437654,0.38260869565217315,-0.5357798165137613,0.44767883728435937,0.11358134467453088,0.666666666666667,-0.8571428571428577,0.6666666666666669,1.0,-0.5,1.0,0.25
11.69,88.8,77.7,0.6,1.0,0.6,0,2,2275.81,1470.8899999999999,1,1,21,4,1,1,5,1,2,5,1,5,5,4,5,3,Desertó,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.2,-0.26161369193154044,0.3565217391304343,-0.11743119266055004,1.627281340121394,1.1780546849617577,-0.2666666666666666,0.0,0.13333333333333336,0.0,0.0,1.0,0.25
12.39,67.9,65.9,0.5714285714285714,0.875,0.5,1,3,492.04,97.18,2,2,19,1,1,4,2,5,2,1,5,3,4,5,5,5,Desertó,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,-0.6,-0.09046454767726142,-1.460869565217391,-0.9834862385321095,-0.22982582169888907,-0.1642356539306191,-0.38095238095238093,-0.7500000000000002,-0.33333333333333315,1.0,0.5,2.0,0.5
8.12,92.0,87.3,0.42857142857142855,1.0,0.42857142857142855,0,4,1285.78,870.8699999999999,0,0,21,3,1,1,5,1,1,1,2,1,1,5,3,5,Graduado,0,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.2,-1.134474327628362,0.634782608695652,0.5871559633027523,0.5965476673850351,0.5917584149031544,-0.9523809523809523,0.0,-0.6666666666666666,0.0,1.0,0.0,0.0
12.33,83.4,93.4,0.6666666666666666,0.75,0.5,1,1,733.93,413.48999999999995,10,2,17,3,5,4,4,1,5,1,1,2,4,4,4,2,Graduado,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1.0,-0.10513447432762829,-0.11304347826086932,1.0348623853211016,0.022009140977189187,0.1448396655291269,0.0,-1.5000000000000004,-0.33333333333333315,1.0,-0.5,2.0,2.5
10.82,60.7,76.1,0.6,0.8333333333333334,0.5,1,2,3761.28,3236.0600000000004,0,0,26,3,4,3,5,1,4,2,1,1,2,1,5,4,Graduado,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8,-0.4743276283618581,-2.0869565217391304,-0.23486238532110112,3.1738243224953413,2.9028515034333835,-0.2666666666666666,-1.0,-0.33333333333333315,1.0,0.0,0.0,0.0
12.93,84.8,68.5,0.625,1.0,0.625,0,3,235.07,-35.879999999999995,0,0,25,4,5,1,4,1,5,2,1,5,3,3,2,3,Desertó,1,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6,0.0415647921760391,0.00869565217391255,-0.7926605504587154,-0.4973607770871724,-0.29425228953276195,-0.16666666666666652,0.0,0.2500000000000001,0.0,0.5,0.0,0.0
8.79,88.5,91.9,0.5,0.8,0.4,1,2,1371.0,1229.22,0,0,25,2,5,3,2,4,2,5,4,3,2,3,1,3,Desertó,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.6,-0.9706601466992667,0.3304347826086954,0.9247706422018355,0.6852713662533446,0.9419121904031387,-0.6666666666666665,-1.2,-0.7999999999999997,1.0,0.0,0.0,0.0
13.9,92.8,76.9,0.6666666666666666,1.0,0.6666666666666666,0,2,582.22,-1006.8,4,1,16,1,4,3,2,5,1,2,4,2,1,1,5,5,Graduado,0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-1.2,0.2787286063569684,0.704347826086956,-0.17614678899082506,-0.1359381994981832,-1.2429652899749124,0.0,0.0,0.44444444444444436,0.0,0.0,1.0,1.0
12.56,98.1,76.1,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,514.14,-114.52999999999997,0,0,21,2,1,3,5,5,2,3,4,1,2,1,1,5,Desertó,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,-0.2,-0.048899755501222324,1.165217391304347,-0.23486238532110112,-0.2068172116896232,-0.3711033972293539,0.0,-0.8571428571428577,0.0,1.0,0.0,0.0,0.0
12.8,76.5,98.4,0.5714285714285714,0.875,0.5,1,3,189.86,164.51000000000002,0,0,21,4,1,2,2,3,5,5,5,1,3,2,5,1,Graduado,0,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.2,0.009779951100244724,-0.7130434782608698,1.4018348623853216,-0.5444295218165349,-0.09844563382621296,-0.38095238095238093,-0.7500000000000002,-0.33333333333333315,1.0,0.5,0.0,0.0
13.56,95.2,93.9,0.6666666666666666,1.0,0.6666666666666666,0,2,1544.27,892.37,6,2,28,3,3,5,5,1,4,5,4,1,1,2,3,1,Graduado,0,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.2,0.19559902200489016,0.9130434782608695,1.0715596330275237,0.8656651154074398,0.6127666643052743,0.0,0.0,0.44444444444444436,0.0,0.0,2.0,1.5
6.11,78.2,69.2,0.375,1.0,0.375,0,5,929.82,-54.70999999999992,0,0,17,1,1,4,5,1,5,1,4,1,5,2,4,1,Desertó,1,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.0,-1.625916870415648,-0.5652173913043478,-0.7412844036697244,0.22595287919959198,-0.3126516074975022,-1.1666666666666665,0.0,-0.9166666666666664,0.0,1.5,0.0,0.0
10.21,81.7,67.0,0.5,0.8571428571428571,0.42857142857142855,1,3,2006.61,1431.3799999999999,0,0,22,1,3,1,5,1,2,5,1,2,5,3,2,3,Graduado,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,-0.6234718826405865,-0.2608695652173913,-0.9027522935779815,1.3470135657098832,1.1394483624558154,-0.6666666666666665,-0.8571428571428577,-0.6666666666666666,1.0,0.5,0.0,0.0
11.46,76.5,71.7,0.6,1.0,0.6,0,2,284.11,88.38000000000002,0,0,21,3,1,1,2,4,2,1,3,1,5,2,3,4,Graduado,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.2,-0.31784841075794595,-0.7130434782608698,-0.5577981651376143,-0.4463045673652538,-0.1728343792673007,-0.2666666666666666,0.0,0.13333333333333336,0.0,0.0,0.0,0.0
15.46,84.4,72.4,0.8333333333333334,1.0,0.8333333333333334,0,1,2961.21,2495.4,0,0,23,3,1,4,4,5,1,4,1,1,4,3,1,1,Desertó,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.2,0.6601466992665039,-0.026086956521738883,-0.5064220183486232,2.340860584481161,2.179131968448541,0.666666666666667,0.0,1.2222222222222225,0.0,-0.5,0.0,0.0
11.08,82.7,75.3,0.6666666666666666,0.75,0.5,1,1,56.47,-1045.18,10,2,20,2,5,5,5,4,4,3,1,5,2,1,1,1,Graduado,0,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-0.4,-0.4107579462102689,-0.17391304347826086,-0.29357798165137616,-0.6833036615964435,-1.2804674579773943,0.0,-1.5000000000000004,-0.33333333333333315,1.0,-0.5,2.0,2.5
11.36,99.4,76.8,0.5,1.0,0.5,0,4,141.65,-77.41,0,0,19,2,5,2,4,1,4,1,5,5,5,2,1,2,Graduado,0,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.6,-0.34229828850855754,1.2782608695652176,-0.1834862385321101,-0.5946216072711372,-0.33483241035462424,-0.6666666666666665,0.0,-0.33333333333333315,0.0,1.0,0.0,0.0
15.28,81.1,93.6,0.75,0.8,0.6,1,1,955.39,592.75,4,1,23,4,4,2,5,1,2,5,5,5,5,4,5,3,Desertó,1,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.2,0.6161369193154034,-0.3130434782608703,1.0495412844036696,0.2525741533143851,0.31999960914884834,0.3333333333333335,-1.2,0.13333333333333336,1.0,-0.5,1.0,1.0
15.6,88.5,66.4,0.8571428571428571,1.0,0.8571428571428571,0,1,271.05,-585.74,0,0,23,1,1,2,1,5,3,3,1,1,2,1,2,5,Graduado,0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.2,0.6943765281173594,0.3304347826086954,-0.9467889908256875,-0.4599015106557974,-0.83153582517228,0.7619047619047619,0.0,1.3333333333333333,0.0,-0.5,0.0,0.0
13.58,90.5,80.7,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,1807.65,1422.5500000000002,2,1,20,4,2,1,5,2,5,2,5,2,1,2,1,1,Graduado,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.4,0.2004889975550123,0.5043478260869563,0.10275229357798207,1.1398736088119854,1.1308203232827592,0.0,-0.8571428571428577,0.0,1.0,0.0,1.0,0.5
10.01,98.0,98.5,0.4,0.8333333333333334,0.3333333333333333,1,3,1513.41,1360.63,0,0,24,3,4,1,5,1,3,1,3,5,5,4,5,2,Graduado,0,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.4,-0.6723716381418093,1.1565217391304345,1.4091743119266058,0.833536350480474,1.0703165650046538,-1.0666666666666664,-1.0,-1.111111111111111,1.0,0.5,0.0,0.0
15.74,85.4,68.3,0.8571428571428571,1.0,0.8571428571428571,0,1,1102.03,440.41999999999996,0,0,24,1,3,1,4,4,4,1,5,4,2,2,1,5,Graduado,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4,0.7286063569682153,0.06086956521739155,-0.8073394495412844,0.40524304796410243,0.171153719315131,0.7619047619047619,0.0,1.3333333333333333,0.0,-0.5,0.0,0.0
