Formas de Pago,Matrícula al día,Becario,Situación laboral,Facultad,Orden de solicitud,Modo de solicitud,Procedencia,Vivienda,Necesidades educativas especiales,Trasladado(a),Género,Crianza Adventista,Estado civil,Titulación de la madre,Titulación del padre,Ocupación de la madre,Ocupación del padre,Promedio ponderado del semestre,Asistencia (%),Desarrollo de Tareas (%),tasa_aprobacion,tasa_evaluacion,carga_aprobada,backlog_eval,backlog_aprob,Deuda,deuda_neta,conflicto_trabajo_estudio,trabajo_ordinal,Edad,¿La distancia y la separación de mi familia para estudiar en la universidad me hacen considerar abandonar mis estudios.?,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?","¿Me siento poco integrado/a con mis compañeros y actividades universitarias, lo que me hace pensar en abandonar?","¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",¿La falta de seguridad dentro o cerca del campus influye en mi intención de abandonar?,¿La retroalimentación tardía o poco clara de los docentes afecta mi continuidad y me hace pensar en abandonar?,¿La carrera/facultad donde estoy matriculado no cumple mis expectativas y me hace pensar en retirarme?,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿Cuento con poco apoyo familiar para continuar mis estudios y eso me hace considerar el abandono?,"¿Me cuesta adaptarme a la cultura y normas institucionales, lo que afecta mi permanencia?","¿No veo una trayectoria profesional clara a partir de mi carrera actual, por lo que consideraría retirarme?",Condición Final,target_deserto
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Segunda Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,Sí,Soltero,Primaria,Secundaria,Agricultores / ganaderos / pescadores,Empleados administrativos / de oficina,9.18,78.3,73.6,0.3333333333333333,0.75,0.25,1,2,2098.36,1631.75,0,0,20,1,4,2,5,2,3,3,2,4,3,4,1,1,Graduado,0
Armadas,No,No,Medio Tiempo,Ciencias de la Salud,Segunda Opción,Ingreso directo,Lima,Familiares,No,No,H,No,Soltero,Técnica,Educación Superior,Otros / no especificado,Profesionales y técnicos,9.09,69.3,86.0,0.5,1.0,0.5,0,2,925.32,816.5,3,1,22,1,3,5,5,4,3,3,1,1,5,2,3,2,Desertó,1
Armadas,No,No,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,No,Soltero,Primaria,Secundaria,Ama de casa / labores del hogar,Obreros / trabajadores manuales,13.94,80.7,82.2,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,406.34,-28.220000000000027,2,1,19,2,2,3,5,4,1,5,1,2,3,4,2,3,Desertó,1
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,No,Soltero,Secundaria,Técnica,Ama de casa / labores del hogar,Profesionales y técnicos,8.49,77.7,78.9,0.5,1.0,0.5,0,3,1832.85,1377.4499999999998,0,0,20,3,1,1,5,4,1,3,5,2,5,1,5,2,Desertó,1
Contado,Sí,No,Medio Tiempo,Ciencias Empresariales,Segunda Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Técnica,Técnica,Obreros / trabajadores manuales,Profesionales y técnicos,15.83,89.1,72.0,0.8333333333333334,0.8571428571428571,0.7142857142857143,1,1,1142.79,381.5,1,1,26,1,1,3,4,1,4,2,3,5,2,5,2,1,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,No,Soltero,Técnica,Primaria,Obreros / trabajadores manuales,Agricultores / ganaderos / pescadores,11.69,88.8,77.7,0.6,1.0,0.6,0,2,2275.81,1470.8899999999999,1,1,21,4,1,1,5,1,2,5,1,5,5,4,5,3,Desertó,1
Armadas,Sí,No,Tiempo completo,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Provincia,Alquila cuarto,No,No,M,No,Soltero,Técnica,Secundaria,Profesionales y técnicos,Obreros / trabajadores manuales,12.39,67.9,65.9,0.5714285714285714,0.875,0.5,1,3,492.04,97.18,2,2,19,1,1,4,2,5,2,1,5,3,4,5,5,5,Desertó,1
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Segunda Opción,Ingreso por convenio o beca especial,Provincia,Familiares,No,No,H,Sí,Soltero,Secundaria,Secundaria,Servicios personales y domésticos,Servicios personales y domésticos,8.12,92.0,87.3,0.42857142857142855,1.0,0.42857142857142855,0,4,1285.78,870.8699999999999,0,0,21,3,1,1,5,1,1,1,2,1,1,5,3,5,Graduado,0
Armadas,No,No,Tiempo completo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Técnica,Educación Superior,Ama de casa / labores del hogar,Obreros / trabajadores manuales,12.33,83.4,93.4,0.6666666666666666,0.75,0.5,1,1,733.93,413.48999999999995,10,2,17,3,5,4,4,1,5,1,1,2,4,4,4,2,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Ingreso directo,Provincia,Residencia,No,No,M,Sí,Soltero,Secundaria,Educación Superior,Ama de casa / labores del hogar,Empleados administrativos / de oficina,10.82,60.7,76.1,0.6,0.8333333333333334,0.5,1,2,3761.28,3236.0600000000004,0,0,26,3,4,3,5,1,4,2,1,1,2,1,5,4,Graduado,0
Armadas,Sí,Sí,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Ingreso por traslado externo,Lima,Familiares,No,Sí,H,Sí,Soltero,Secundaria,Primaria,Comerciantes / vendedores,Empleados administrativos / de oficina,12.93,84.8,68.5,0.625,1.0,0.625,0,3,235.07,-35.879999999999995,0,0,25,4,5,1,4,1,5,2,1,5,3,3,2,3,Desertó,1
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Provincia,Alquila cuarto,No,No,H,Sí,Soltero,Técnica,Secundaria,Servicios personales y domésticos,Obreros / trabajadores manuales,8.79,88.5,91.9,0.5,0.8,0.4,1,2,1371.0,1229.22,0,0,25,2,5,3,2,4,2,5,4,3,2,3,1,3,Desertó,1
Armadas,Sí,Sí,Medio Tiempo,Ciencias Humanas y Educación,Segunda Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Educación Superior,Educación Superior,Empleados administrativos / de oficina,Militares / policías / fuerzas del orden,13.9,92.8,76.9,0.6666666666666666,1.0,0.6666666666666666,0,2,582.22,-1006.8,4,1,16,1,4,3,2,5,1,2,4,2,1,1,5,5,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,No,Soltero,Secundaria,Educación Superior,Servicios personales y domésticos,Obreros / trabajadores manuales,12.56,98.1,76.1,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,514.14,-114.52999999999997,0,0,21,2,1,3,5,5,2,3,4,1,2,1,1,5,Desertó,1
Armadas,Sí,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Ingreso directo,Lima,Familiares,No,No,H,No,Soltero,Secundaria,Secundaria,Comerciantes / vendedores,Obreros / trabajadores manuales,12.8,76.5,98.4,0.5714285714285714,0.875,0.5,1,3,189.86,164.51000000000002,0,0,21,4,1,2,2,3,5,5,5,1,3,2,5,1,Graduado,0
Contado,Sí,No,Tiempo completo,Ciencias de la Salud,Primera Opción,Ingreso directo,Provincia,Residencia,No,No,H,No,Soltero,Educación Superior,Técnica,Comerciantes / vendedores,Profesionales y técnicos,13.56,95.2,93.9,0.6666666666666666,1.0,0.6666666666666666,0,2,1544.27,892.37,6,2,28,3,3,5,5,1,4,5,4,1,1,2,3,1,Graduado,0
Armadas,No,No,No Trabaja,Ingeniería y Arquitectura,Segunda Opción,Ingreso directo,Provincia,Familiares,No,No,M,Sí,Casado,Secundaria,Secundaria,Comerciantes / vendedores,Profesionales y técnicos,6.11,78.2,69.2,0.375,1.0,0.375,0,5,929.82,-54.70999999999992,0,0,17,1,1,4,5,1,5,1,4,1,5,2,4,1,Desertó,1
Armadas,No,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Ingreso directo,Lima,Familiares,No,No,M,No,Soltero,Técnica,Primaria,Obreros / trabajadores manuales,Desempleado / sin ocupación,10.21,81.7,67.0,0.5,0.8571428571428571,0.42857142857142855,1,3,2006.61,1431.3799999999999,0,0,22,1,3,1,5,1,2,5,1,2,5,3,2,3,Graduado,0
Otros,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Secundaria,Secundaria,Ama de casa / labores del hogar,Comerciantes / vendedores,11.46,76.5,71.7,0.6,1.0,0.6,0,2,284.11,88.38000000000002,0,0,21,3,1,1,2,4,2,1,3,1,5,2,3,4,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Ingreso por convenio o beca especial,Lima,Alquila cuarto,No,No,M,No,Soltero,Educación Superior,Educación Superior,Empleados administrativos / de oficina,Profesionales y técnicos,15.46,84.4,72.4,0.8333333333333334,1.0,0.8333333333333334,0,1,2961.21,2495.4,0,0,23,3,1,4,4,5,1,4,1,1,4,3,1,1,Desertó,1
Contado,Sí,No,Tiempo completo,Ciencias Empresariales,Segunda Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,M,Sí,Soltero,Secundaria,Primaria,Profesionales y técnicos,Otros / no especificado,11.08,82.7,75.3,0.6666666666666666,0.75,0.5,1,1,56.47,-1045.18,10,2,20,2,5,5,5,4,4,3,1,5,2,1,1,1,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias Humanas y Educación,Segunda Opción,Ingreso por convenio o beca especial,Lima,Residencia,No,No,M,Sí,Soltero,Secundaria,Primaria,Comerciantes / vendedores,Comerciantes / vendedores,11.36,99.4,76.8,0.5,1.0,0.5,0,4,141.65,-77.41,0,0,19,2,5,2,4,1,4,1,5,5,5,2,1,2,Graduado,0
Contado,Sí,Sí,Medio Tiempo,Ciencias Humanas y Educación,Segunda Opción,Examen de admisión ordinario,Lima,Residencia,No,No,H,Sí,Soltero,Secundaria,Secundaria,Otros / no especificado,Comerciantes / vendedores,15.28,81.1,93.6,0.75,0.8,0.6,1,1,955.39,592.75,4,1,23,4,4,2,5,1,2,5,5,5,5,4,5,3,Desertó,1
Contado,Sí,No,No Trabaja,Ciencias de la Salud,Tercera Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,M,No,Soltero,Técnica,Secundaria,Servicios personales y domésticos,Profesionales y técnicos,15.6,88.5,66.4,0.8571428571428571,1.0,0.8571428571428571,0,1,271.05,-585.74,0,0,23,1,1,2,1,5,3,3,1,1,2,1,2,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Humanas y Educación,Primera Opción,Ingreso por reingreso,Lima,Familiares,Sí,No,M,Sí,Soltero,Educación Superior,Secundaria,Ama de casa / labores del hogar,Obreros / trabajadores manuales,13.58,90.5,80.7,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,1807.65,1422.5500000000002,2,1,20,4,2,1,5,2,5,2,5,2,1,2,1,1,Graduado,0
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Segunda Opción,Examen de admisión ordinario,Lima,Familiares,No,Sí,H,No,Soltero,Secundaria,Educación Superior,Profesionales y técnicos,Agricultores / ganaderos / pescadores,10.01,98.0,98.5,0.4,0.8333333333333334,0.3333333333333333,1,3,1513.41,1360.63,0,0,24,3,4,1,5,1,3,1,3,5,5,4,5,2,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Ingreso directo,Provincia,Alquila cuarto,No,No,M,Sí,Soltero,Primaria,Primaria,Ama de casa / labores del hogar,Empleados administrativos / de oficina,15.74,85.4,68.3,0.8571428571428571,1.0,0.8571428571428571,0,1,1102.03,440.41999999999996,0,0,24,1,3,1,4,4,4,1,5,4,2,2,1,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,No,Soltero,Secundaria,Técnica,Obreros / trabajadores manuales,Servicios personales y domésticos,12.19,87.8,83.9,0.6666666666666666,0.75,0.5,1,1,496.32,403.11,5,1,24,1,5,3,3,4,5,1,2,5,1,5,5,3,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,H,Sí,Soltero,Secundaria,Sin estudios,Comerciantes / vendedores,Comerciantes / vendedores,12.48,93.0,77.4,0.6666666666666666,1.0,0.6666666666666666,0,2,1051.49,533.32,0,0,22,3,5,3,5,3,1,2,5,3,5,5,2,4,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Técnica,Secundaria,Profesionales y técnicos,Profesionales y técnicos,12.99,94.7,78.2,0.6,0.8333333333333334,0.5,1,2,4405.58,4256.96,2,1,25,5,2,5,5,2,5,1,2,5,3,1,2,1,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Ingreso directo,Lima,Familiares,No,No,H,Sí,Soltero,Educación Superior,Secundaria,Obreros / trabajadores manuales,Empleados administrativos / de oficina,13.3,82.7,88.5,0.6666666666666666,1.0,0.6666666666666666,0,2,665.46,576.48,0,0,26,5,1,4,4,4,1,1,4,4,2,1,4,2,Graduado,0
Armadas,No,Sí,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,No,Soltero,Técnica,Técnica,Militares / policías / fuerzas del orden,Profesionales y técnicos,12.46,100.0,86.4,0.6666666666666666,0.75,0.5,1,1,1329.6,905.2499999999999,0,0,18,1,4,5,5,4,3,4,5,4,4,5,1,3,Graduado,0
Armadas,Sí,Sí,Tiempo completo,Ciencias Humanas y Educación,Primera Opción,Ingreso directo,Lima,Residencia,No,Sí,H,No,Soltero,Técnica,Técnica,Obreros / trabajadores manuales,Ama de casa / labores del hogar,14.79,86.5,86.1,0.75,1.0,0.75,0,2,830.54,497.67999999999995,4,2,20,1,2,5,5,4,3,5,2,3,1,1,4,2,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias Humanas y Educación,Segunda Opción,Examen de admisión ordinario,Lima,Familiares,Sí,No,M,Sí,Soltero,Sin estudios,Técnica,Empleados administrativos / de oficina,Empleados administrativos / de oficina,13.9,89.3,57.3,0.75,0.8,0.6,1,1,769.81,647.4599999999999,0,0,21,2,4,1,5,2,5,1,1,4,5,4,1,3,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,Sí,H,Sí,Soltero,Sin estudios,Secundaria,Servicios personales y domésticos,Desempleado / sin ocupación,12.36,70.8,78.6,0.6,0.8333333333333334,0.5,1,2,83.58,-103.03000000000002,0,0,21,1,1,5,1,4,1,2,5,2,1,5,4,1,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Primaria,Técnica,Agricultores / ganaderos / pescadores,Empleados administrativos / de oficina,13.6,83.2,78.2,0.7142857142857143,0.875,0.625,1,2,1067.41,132.8900000000001,0,0,21,2,5,1,3,5,2,4,5,1,2,5,4,2,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,H,Sí,Soltero,Secundaria,Secundaria,Ama de casa / labores del hogar,Comerciantes / vendedores,5.0,82.5,90.4,0.16666666666666666,0.8571428571428571,0.14285714285714285,1,5,1472.38,1056.6000000000001,5,1,20,4,5,1,1,4,3,2,1,3,3,2,5,2,Desertó,1
Otros,Sí,Sí,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,No,Soltero,Secundaria,Primaria,Ama de casa / labores del hogar,Obreros / trabajadores manuales,16.85,85.8,86.4,0.875,1.0,0.875,0,1,561.68,-497.85,0,0,16,2,4,4,3,4,3,1,3,3,2,3,4,1,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Empresariales,Segunda Opción,Ingreso directo,Provincia,Residencia,No,No,M,Sí,Soltero,Técnica,Educación Superior,Desempleado / sin ocupación,Obreros / trabajadores manuales,11.58,79.2,88.1,0.625,1.0,0.625,0,3,36.98,-422.69,2,1,19,1,2,1,4,2,5,1,5,2,2,5,5,2,Graduado,0
Armadas,Sí,Sí,No Trabaja,Ciencias de la Salud,Segunda Opción,Ingreso directo,Lima,Residencia,No,No,M,No,Soltero,Educación Superior,Primaria,Profesionales y técnicos,Servicios personales y domésticos,11.8,87.7,70.5,0.5,1.0,0.5,0,2,25.99,-592.8199999999999,0,0,16,5,2,1,3,3,2,5,1,1,1,5,3,1,Graduado,0
Contado,Sí,No,No Trabaja,Ingeniería y Arquitectura,Segunda Opción,Ingreso directo,Lima,Familiares,No,No,H,No,Soltero,Secundaria,Secundaria,Servicios personales y domésticos,Comerciantes / vendedores,14.45,87.1,82.2,0.6666666666666666,1.0,0.6666666666666666,0,2,948.04,291.38,0,0,27,3,1,3,4,2,2,1,5,1,4,5,1,2,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Ingreso directo,Extranjero,Alquila cuarto,No,No,H,No,Soltero,Educación Superior,Técnica,Profesionales y técnicos,Agricultores / ganaderos / pescadores,12.63,88.2,73.9,0.75,0.8,0.6,1,1,498.59,43.94999999999999,0,0,20,3,1,5,3,3,4,1,5,2,2,1,1,4,Graduado,0
Armadas,Sí,No,Tiempo completo,Ciencias de la Salud,Primera Opción,Ingreso por convenio o beca especial,Lima,Alquila cuarto,No,No,H,No,Soltero,Primaria,Sin estudios,Ama de casa / labores del hogar,Profesionales y técnicos,13.85,77.2,58.4,0.75,1.0,0.75,0,2,145.33,-571.29,8,2,17,1,4,3,4,3,1,1,4,2,1,3,2,1,Graduado,0
Contado,Sí,Sí,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Provincia,Familiares,No,No,H,No,Soltero,Primaria,Técnica,Otros / no especificado,Obreros / trabajadores manuales,13.59,82.6,79.7,0.6666666666666666,1.0,0.6666666666666666,0,2,32.55,-311.72999999999996,1,1,16,5,1,1,2,1,2,4,4,1,1,1,5,5,Desertó,1
Contado,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Ingreso por traslado interno,Provincia,Familiares,No,No,M,Sí,Soltero,Educación Superior,Técnica,Comerciantes / vendedores,Otros / no especificado,8.98,85.7,76.0,0.4,1.0,0.4,0,3,835.37,788.07,0,0,24,4,5,1,5,2,2,4,2,1,5,2,1,1,Graduado,0
Contado,Sí,No,No Trabaja,Ingeniería y Arquitectura,Tercera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,H,No,Soltero,Secundaria,Técnica,Ama de casa / labores del hogar,Empleados administrativos / de oficina,13.58,85.6,96.3,0.6,0.8333333333333334,0.5,1,2,210.99,-141.73000000000002,0,0,22,1,2,5,1,2,1,1,1,1,2,4,3,5,Graduado,0
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,Sí,Soltero,Técnica,Educación Superior,Comerciantes / vendedores,Servicios personales y domésticos,12.71,77.8,91.5,0.5714285714285714,0.875,0.5,1,3,1265.48,650.6700000000001,0,0,16,2,5,1,5,5,3,1,2,1,5,2,4,5,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Tercera Opción,Examen de admisión ordinario,Provincia,Alquila cuarto,No,No,M,No,Soltero,Secundaria,Secundaria,Empleados administrativos / de oficina,Obreros / trabajadores manuales,15.53,97.3,71.7,0.8333333333333334,1.0,0.8333333333333334,0,1,703.13,621.4,0,0,20,4,5,4,3,3,4,1,1,1,5,5,2,2,Graduado,0
Otros,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Provincia,Alquila cuarto,No,No,H,Sí,Casado,Educación Superior,Primaria,Empleados administrativos / de oficina,Profesionales y técnicos,13.68,94.0,81.7,0.75,1.0,0.75,0,1,71.18,-476.44,0,0,22,1,5,2,2,5,4,1,1,3,4,2,1,1,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,M,Sí,Soltero,Secundaria,Primaria,Profesionales y técnicos,Comerciantes / vendedores,10.42,85.5,64.2,0.5,1.0,0.5,0,3,609.26,139.63,0,0,21,4,2,1,3,3,1,2,1,5,5,2,3,2,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Ingreso por traslado interno,Lima,Residencia,No,No,M,No,Soltero,Técnica,Secundaria,Profesionales y técnicos,Comerciantes / vendedores,20.0,87.1,85.4,1.0,1.0,1.0,0,0,2540.73,2152.66,0,0,22,2,2,1,5,4,2,2,1,1,1,1,2,1,Graduado,0
Armadas,Sí,No,Tiempo completo,Ciencias de la Salud,Tercera Opción,Ingreso por convenio o beca especial,Provincia,Alquila cuarto,No,No,M,Sí,Soltero,Primaria,Educación Superior,Comerciantes / vendedores,Empleados administrativos / de oficina,13.65,88.8,64.9,0.75,1.0,0.75,0,1,530.88,224.0,10,2,23,5,5,1,1,3,5,2,4,1,2,3,3,1,Desertó,1
Contado,Sí,No,Tiempo completo,Ingeniería y Arquitectura,Primera Opción,Ingreso por convenio o beca especial,Provincia,Residencia,No,No,M,Sí,Soltero,Técnica,Secundaria,Servicios personales y domésticos,Empleados administrativos / de oficina,10.25,88.6,76.1,0.5,1.0,0.5,0,2,304.26,-257.57000000000005,10,2,21,1,5,5,3,4,2,4,3,2,2,2,1,3,Graduado,0
